股票代码,年度,金额最高的前三名董事的报酬总额,金额最高的前三名高级管理人员的报酬总额,独立董事津贴,审计委员会,薪酬与考核委员会,战略委员会,提名委员会,董事会的规模,监事会的规模,年度股东大会的参会股东人数,独立董事总人数
1,1998,482200,-95,-95,0,0,0,0,11,6,311,0
2,1998,-95,-95,-95,0,0,0,0,18,3,63,0
3,1998,-95,-95,-95,0,0,0,0,10,3,33,0
4,1998,-95,-95,-95,0,0,0,0,9,3,5,0
5,1998,-95,-95,-95,0,0,0,0,11,3,7,0
6,1998,-95,-95,-95,0,0,0,0,12,3,34,0
7,1998,-95,-95,-95,0,0,0,0,5,3,11,0
8,1998,-95,-95,-95,0,0,0,0,5,4,5,0
9,1998,-95,-95,-95,0,0,0,0,9,5,37,0
10,1998,-95,-95,-95,0,0,0,0,11,3,23,0
11,1998,-95,-95,-95,0,0,0,0,7,5,14,0
12,1998,-95,-95,-95,0,0,0,0,9,3,34,1
13,1998,-95,-95,-95,0,0,0,0,11,5,46,0
14,1998,-95,-95,-95,0,0,0,0,9,2,8,0
16,1998,-95,-95,-95,0,0,0,0,6,3,90,0
17,1998,-95,-95,-95,0,0,0,0,5,3,20,0
18,1998,-95,-95,-95,0,0,0,0,6,3,11,0
19,1998,-95,-95,-95,0,0,0,0,7,3,39,0
20,1998,-95,-95,-95,0,0,0,0,7,3,15,0
21,1998,-95,-95,-95,0,0,0,0,7,4,23,0
22,1998,-95,-95,-95,0,0,0,0,7,3,22,0
23,1998,-95,-95,-95,0,0,0,0,12,3,196,0
24,1998,-95,-95,-95,0,0,0,0,11,5,42,2
25,1998,-95,-95,-95,0,0,0,0,7,5,3,0
26,1998,155000,338000,-95,0,0,0,0,5,3,12,0
27,1998,-95,-95,-95,0,0,0,0,9,5,17,0
28,1998,-95,-95,-95,0,0,0,0,9,3,17,0
29,1998,-95,-95,-95,0,0,0,0,8,5,5,0
30,1998,386700,386700,-95,0,0,0,0,8,4,62,0
31,1998,200850,-95,-95,0,0,0,0,8,4,112,0
32,1998,-95,-95,-95,0,0,0,0,7,4,25,0
33,1998,-95,-95,-95,0,0,0,0,7,3,21,0
34,1998,-95,-95,-95,0,0,0,0,9,4,6,0
35,1998,216000,-95,-95,0,0,0,0,9,3,10,0
36,1998,-95,-95,-95,0,0,0,0,9,3,28,0
37,1998,-95,-95,-95,0,0,0,0,10,7,10,1
38,1998,-95,-95,-95,0,0,0,0,9,3,9,0
39,1998,-95,-95,-95,0,0,0,0,9,3,-95,0
40,1998,-95,-95,-95,0,0,0,0,7,3,23,0
42,1998,-95,-95,-95,0,0,0,0,9,3,129,0
43,1998,68000,-95,-95,0,0,0,0,9,5,20,0
45,1998,-95,-95,-95,0,0,0,0,6,3,11,0
46,1998,-95,-95,-95,0,0,0,0,7,3,13,0
47,1998,-95,-95,-95,0,0,0,0,5,3,5,0
48,1998,-95,-95,-95,0,0,0,0,11,3,10,0
49,1998,212000,215000,-95,0,0,0,0,7,3,21,0
50,1998,-95,-95,-95,0,0,0,0,5,3,7,0
55,1998,-95,-95,-95,0,0,0,0,8,3,34,0
