股票代码,年度,CR_5指数,CR_10指数,Z指数,Herfindahl_5指数,Herfindahl_10指数
1,1998,0.276922,-97,1.521965705,0.019740906,-97
2,1998,0.192561,0.253108,1.301807644,0.008695709,0.009449512
3,1998,0.175003,0.21079,1.737477649,0.009017082,0.009274735
4,1998,0.493529,0.529316,5.12347246,0.150045106,0.15030276
5,1998,0.525867,0.608217,5.352867883,0.155157492,0.156582526
6,1998,0.377712,0.387354,5.670511108,0.082099524,0.082118781
7,1998,0.445908,0.494672,6.160176396,0.113058683,0.113578824
8,1998,0.495941,0.52132,3.144374722,0.083644344,0.083774258
9,1998,0.270912,0.308378,1.043686405,0.026614611,0.026902845
10,1998,0.593156,0.646805,1.966283875,0.093754585,0.094341942
11,1998,0.715226,0.725447,5.717120496,0.368042019,0.368062969
12,1998,0.562239,0.566649,1.183898674,0.070651663,0.070655591
13,1998,0.695939,0.747828,7.031943166,0.304342651,0.304896964
14,1998,0.502432,0.505355,2.700006201,0.109522481,0.10952422
16,1998,0.630557,0.691523,2.348681714,0.150101657,0.150866016
17,1998,0.489375,0.5553,1.200004124,0.093785432,0.094669415
18,1998,0.61094,0.626056,2.250005187,0.133624936,0.133671308
19,1998,0.670542,0.711527,10.09522607,0.362980822,0.363512549
20,1998,0.693992,0.709256,-97,0.122689952,0.122737789
21,1998,0.747779,0.759823,5.948520893,0.327553885,0.327583682
22,1998,0.669931,0.703439,19.36101879,0.348035641,0.348268102
23,1998,0.678221,0.71473,229.9572561,0.445061342,0.445353742
24,1998,0.608907,0.622268,3.000007579,0.177017427,0.177054112
25,1998,0.738247,0.764358,189.4542364,0.524908925,0.525045925
26,1998,0.582593,0.59249,13.6697543,0.27459649,0.274616145
27,1998,0.615758,0.636757,88.92318019,0.355485588,0.355575393
28,1998,0.633839,0.641689,4.55000105,0.205149993,0.205162553
29,1998,0.741522,0.822835,387.9931398,0.540598294,0.541932077
30,1998,0.740728,0.746009,27.01689533,0.441933938,0.441939632
31,1998,0.663969,0.676335,16.85199943,0.357295756,0.357326431
32,1998,0.727046,0.738259,11.389396,0.419783674,0.419811941
33,1998,0.795554,0.804705,1.171172817,0.139488817,0.139506467
34,1998,0.731682,0.75544,1.714745113,0.248619335,0.248737142
35,1998,0.658286,0.669483,1.084320865,0.159499076,0.159526461
36,1998,0.514572,0.532321,94.70660377,0.251994801,0.252058435
37,1998,0.7,0.715804,1.502595682,0.11170576,0.111755742
38,1998,0.789004,0.80695,1.666693285,0.19685127,0.196920697
39,1998,0.600748,0.613697,-97,0.094426181,0.094460165
40,1998,0.427953,0.456214,8.766034929,0.119232975,0.119400063
42,1998,0.717348,0.731659,7.614163777,0.401211543,0.401253198
43,1998,0.568295,0.59334,2.410729553,0.093809072,0.09394485
45,1998,0.695041,0.742477,62.15248194,0.439012185,0.439480834
46,1998,0.555172,0.572934,53.45687812,0.275869978,0.275933772
47,1998,0.743442,0.757251,149.1889117,0.527946875,0.527985948
48,1998,0.74391,0.757719,27.16336558,0.501496475,0.501535548
49,1998,0.684143,0.705716,84.24034443,0.442655757,0.442755712
50,1998,0.851581,0.859956,4.69950285,0.488625638,0.488639756
55,1998,0.485912,0.496489,4.047693653,0.135451304,0.135475357
56,1998,0.504908,0.517456,1.388947687,0.066601323,0.066635129
58,1998,0.677865,0.736894,14.65866188,0.347983993,0.349000465
59,1998,0.747805,0.764649,13.16497804,0.482423145,0.482480564
60,1998,0.533476,0.56303,8,0.181948426,0.182126171
61,1998,0.328529,0.37338,2.226173648,0.025257828,0.025688072
62,1998,0.533376,0.591822,211.5229654,0.275642755,0.27633501
63,1998,0.710307,0.718195,19.625,0.396283111,0.396295651
65,1998,0.759854,0.797519,6.267441861,0.429032889,0.429335945
66,1998,0.654772,0.700923,156.5229717,0.410281492,0.410721033
68,1998,0.713977,0.738619,1.333330214,0.172515342,0.172637966
69,1998,0.752713,0.766209,33.38321711,0.516149248,0.516187267
78,1998,0.75,0.768922,47.5,0.50805,0.508122208
88,1998,0.789418,0.794168,556.8873938,0.618309949,0.61831453
89,1998,0.683604,0.689191,122.7069759,0.444520582,0.444527326
400,1998,0.60488,0.633726,9.466262603,0.237761625,0.237932104
401,1998,0.769088,0.814194,56.61063373,0.544743822,0.545154422
402,1998,0.631903,0.69672,163.954425,0.382912458,0.383794204
403,1998,0.521247,0.566025,7.714566584,0.196582502,0.197006051
404,1998,0.699114,0.72191,222.7844466,0.476684667,0.476790715
405,1998,0.537376,0.551487,8.882431788,0.15836803,0.158411616
406,1998,0.287215,0.301326,36.34405189,0.069498515,0.069542101
407,1998,0.466323,0.486509,2.803922251,0.073111477,0.073194331
408,1998,0.707512,0.742599,140.7888844,0.47831475,0.478599187
409,1998,0.322372,0.338716,1.451394521,0.029628495,0.029683017
410,1998,0.577422,0.632285,18.40420504,0.281443988,0.282048778
411,1998,0.673279,0.688615,2.016985615,0.131805028,0.131853387
412,1998,0.632057,0.726098,2.648824331,0.136430518,0.13940523
413,1998,0.672027,0.766068,13.96425338,0.364064343,0.367039054
415,1998,0.639,0.653741,1.625575725,0.138956151,0.139000295
416,1998,0.335691,0.353363,17.59692217,0.088835089,0.088898206
417,1998,0.629449,0.648632,11.82143409,0.28975513,0.289832121
418,1998,0.510644,0.591417,2.34399131,0.096263534,0.097585508
