股票代码,年度,股票简称,公司中文全称,公司英文全称,CSRC行业分类,GICS行业分类,公司注册地,证券交易所,中小企业板标示,交易状态
'000001,2002,深发展A,深圳发展银行股份有限公司,"SHENZHEN DEVELOPMENT BANK CO.,LTD.",I01,401010,广东省深圳市罗湖区深南东路178号深圳发展银行大厦,SZ,0,0
'000001,2003,深发展A,深圳发展银行股份有限公司,"SHENZHEN DEVELOPMENT BANK CO.,LTD.",I01,401010,广东省深圳市罗湖区深南东路178号深圳发展银行大厦,SZ,0,0
'000001,2004,深发展A,深圳发展银行股份有限公司,SHENZHEN DEVELOPMENT,I01,401010,广东省深圳市罗湖区深南东路178号深圳发展银行大厦,SZ,0,0
'000001,2005,深发展A,深圳发展银行股份有限公司,"SHENZHEN DEVELOPMENT BANK CO.,LTD.",I01,401010,广东省深圳市罗湖区深南东路178号深圳发展银行大厦,SZ,0,0
'000001,2006,S深发展A,深圳发展银行股份有限公司,"SHENZHEN DEVELOPMENT BANK CO.,LTD.",I01,401010,NA,SZ,0,0
'000001,2008,深发展A,深圳发展银行股份有限公司,"SHENZHEN DEVELOPMENT BANK CO.,LTD.",I01,401010,NA,SZ,0,0
'000001,2009,深发展A,深圳发展银行股份有限公司,NA,I01,401010,NA,SZ,0,0
'000001,2010,深发展A,深圳发展银行股份有限公司,NA,I01,401010,NA,SZ,0,0
'000002,2003,深万科A,万科企业股份有限公司,"CHINA VANKE CO.,LTD.",J01,404030,中国深圳市福田区梅林路63号,SZ,0,0
'000002,2004,深万科A,万科企业股份有限公司,"CHINA VANKE CO.,LTD.",J01,404030,中国深圳市福田区梅林路63号,SZ,0,0
'000002,2005,G万科A,万科企业股份有限公司,"CHINA VANKE CO.,LTD.",J01,404030,中国深圳市福田区梅林路63号,SZ,0,0
'000002,2006,万科A,万科企业股份有限公司,"CHINA VANKE CO.,LTD.",J01,404030,NA,SZ,0,0
'000002,2007,万科A,万科企业股份有限公司,"CHINA VANKE CO.,LTD.",J01,404030,NA,SZ,0,0
'000002,2009,万科A,万科企业股份有限公司,NA,J01,404030,NA,SZ,0,0
'000002,2010,万科A,万科企业股份有限公司,NA,J01,404030,NA,SZ,0,0
'000004,2004,北大高科,深圳市北大高科技股份有限公司,"SHENZHEN CAU TECHNOLOGY CO.,LTD.",F03,352010,深圳市蛇口新时代广场27楼A-D,SZ,0,0
'000004,2005,*ST国农,深圳中国农大科技股份有限公司,"SHENZHEN CAU TECHNOLOGY CO.,LTD.",F03,352010,深圳市蛇口新时代广场27楼A-D,SZ,0,1
'000004,2006,*ST国农,深圳中国农大科技股份有限公司,"SHENZHEN CAU TECHNOLOGY CO.,LTD.",F03,352010,NA,SZ,0,1
'000004,2007,ST国农,深圳中国农大科技股份有限公司,"SHENZHEN CAU TECHNOLOGY CO.,LTD.",F03,352010,NA,SZ,0,1
'000004,2008,*ST国农,深圳中国农大科技股份有限公司,"SHENZHEN CAU TECHNOLOGY CO.,LTD.",F03,352010,NA,SZ,0,1
'000004,2009,*ST国农,深圳中国农大科技股份有限公司,NA,F03,352010,NA,SZ,0,1
'000004,2010,ST国农,深圳中国农大科技股份有限公司,NA,C81,352010,NA,SZ,0,1
'000005,2002,ST星源,深圳世纪星源股份有限公司,SHENZHEN FOUNTAIN CORPORATION,M,404030,广东省深圳市人民南路发展中心大厦13楼,SZ,0,1
'000005,2003,ST星源,深圳世纪星源股份有限公司,SHENZHEN FOUNTAIN CORPORATION,M,404030,广东省深圳市人民南路发展中心大厦13楼,SZ,0,1
'000005,2004,ST星源,深圳世纪星源股份有限公司,SHENZHEN FOUNTAIN CORPORATION,M,404030,广东省深圳市人民南路发展中心大厦13楼,SZ,0,1
'000005,2005,ST星源,深圳世纪星源股份有限公司,SHENZHEN FOUNTAIN CORPORATION,M,404030,广东省深圳市人民南路发展中心大厦13楼,SZ,0,1
'000005,2006,ST星源,深圳世纪星源股份有限公司,SHENZHEN FOUNTAIN CORPORATION,M,404030,NA,SZ,0,1
'000005,2007,ST星源,深圳世纪星源股份有限公司,SHENZHEN FOUNTAIN CORPORATION,M,404030,NA,SZ,0,1
'000005,2008,世纪星源,深圳世纪星源股份有限公司,SHENZHEN FOUNTAIN CORPORATION,M,404030,NA,SZ,0,0
'000005,2009,世纪星源,深圳世纪星源股份有限公司,NA,M,404030,NA,SZ,0,0
'000005,2010,世纪星源,深圳世纪星源股份有限公司,NA,M,404030,NA,SZ,0,0
'000006,2002,深振业A,深圳市振业(集团)股份有限公司,"SHENZHEN ZHENYE (GROUP) CO.,LTD.",J01,404030,深圳市罗湖区宝安南路振业大厦B 座11-17 楼,SZ,0,0
'000006,2003,深振业A,深圳市振业(集团)股份有限公司,"SHENZHEN ZHENYE (GROUP) CO.,LTD.",J01,404030,深圳市罗湖区宝安南路振业大厦B 座11-17 楼,SZ,0,0
'000006,2004,深振业A,深圳市振业(集团)股份有限公司,"SHENZHEN ZHENYE (GROUP) CO.,LTD.",J01,404030,深圳市罗湖区宝安南路振业大厦B 座11-17 楼,SZ,0,0
'000006,2005,G深振业,深圳市振业(集团)股份有限公司,"SHENZHEN ZHENYE (GROUP) CO.,LTD.",J01,404030,深圳市罗湖区宝安南路振业大厦B 座11-17 楼,SZ,0,0
'000006,2006,深振业A,深圳市振业(集团)股份有限公司,"SHENZHEN ZHENYE (GROUP) CO.,LTD.",J01,404030,NA,SZ,0,0
'000006,2007,深振业A,深圳市振业(集团)股份有限公司,"SHENZHEN ZHENYE (GROUP) CO.,LTD.",J01,404030,NA,SZ,0,0
'000006,2009,深振业A,深圳市振业(集团)股份有限公司,NA,J01,404030,NA,SZ,0,0
'000006,2010,深振业A,深圳市振业(集团)股份有限公司,NA,J01,404030,NA,SZ,0,0
'000007,2002,深达声A,深圳市赛格达声股份有限公司,"ShenZhen SEG. DASHENG Co., Ltd.",J01,253010,深圳市华强北路赛格工业大厦五楼,SZ,0,0
'000007,2003,深达声A,深圳市赛格达声股份有限公司,"ShenZhen HongDa Investment Co., Ltd.",J01,253010,深圳市华强北路现代之窗大厦二十三楼,SZ,0,0
'000007,2004,深达声A,深圳市赛格达声股份有限公司,"ShenZhen HongDa Investment Co., Ltd.",J01,253010,深圳市华强北路现代之窗大厦二十三楼,SZ,0,0
'000007,2005,深达声A,深圳市赛格达声股份有限公司,"ShenZhen HongDa Investment Co., Ltd.",J01,253010,深圳市华强北路现代之窗大厦二十三楼,SZ,0,0
'000007,2006,深达声A,深圳市赛格达声股份有限公司,NA,J01,253010,NA,SZ,0,0
'000007,2007,ST达声,深圳市赛格达声股份有限公司,"SHENZHEN SEG. DASHENG CO., LTD",J01,253010,NA,SZ,0,1
'000007,2008,ST达声,深圳市赛格达声股份有限公司,"SHENZHEN SEG. DASHENG CO., LTD",J01,253010,NA,SZ,0,1
'000007,2009,ST零七,深圳市零七股份有限公司,NA,J01,253010,NA,SZ,0,1
'000007,2010,ST零七,深圳市零七股份有限公司,NA,K32,253010,NA,SZ,0,1
'000008,2004,ST亿安,广东亿安科技股份有限公司,"BAOLILAI INVESTMENT CO.,LTD,GUANGDONG",G87,201070,深圳市南山区内环路5号锦兴工业小区管理楼二楼,SZ,0,1
'000008,2005,G宝利来,广东宝利来投资股份有限公司,"GUANGDONG YORKPOINT SCIENCE &TECHNOLOGY CO.,LTD.",G87,201070,深圳市南山区内环路5号锦兴工业小区管理楼二楼,SZ,0,0
'000008,2006,*ST宝投,广东宝利来投资股份有限公司,NA,G87,201070,NA,SZ,0,1
'000008,2007,*ST宝投,广东宝利来投资股份有限公司,"BAOLILAI INVESTMENT CO.,LTD,GUANGDONG",G87,201070,NA,SZ,0,1
'000008,2009,ST宝利来,广东宝利来投资股份有限公司,NA,G87,201070,NA,SZ,0,1
'000008,2011,ST宝利来,广东宝利来投资股份有限公司,NA,H01,201070,NA,SZ,0,1
'000009,2002,深宝安A,中国宝安集团股份有限公司,CHINA BAOAN GROUP CO,M,201050,深圳市笋岗东路1002 号宝安广场A 座28-29 层,SZ,0,0
