股票代码,年度,年度股东大会会议的出席率,临时股东大会会议(一)的参会股东人数,临时股东大会会议(一)的出席率,临时股东大会会议(二)的参会股东人数,临时股东大会会议(二)的出席率,年度内董事会的会议次数,年度内以通讯方式召开的董事会会议次数,年度内监事会的会议次数,年度内股东大会的会议总次数
1,1998,31.83,0,0,0,0,10,0,3,1
2,1998,34.23,0,0,0,0,5,1,4,1
3,1998,18.95,0,0,0,0,2,0,2,1
4,1998,49.53,0,0,0,0,4,0,3,1
5,1998,52,0,0,0,0,3,0,2,1
6,1998,38,0,0,0,0,2,0,2,1
7,1998,45,0,0,0,0,4,0,3,1
8,1998,52,0,0,0,0,5,0,2,1
9,1998,31,0,0,0,0,6,0,3,1
10,1998,59,38,62,0,0,8,0,2,2
11,1998,71,0,0,0,0,6,0,3,1
12,1998,61,0,0,0,0,2,0,2,1
13,1998,70,0,0,0,0,3,0,2,1
14,1998,54,0,0,0,0,4,0,4,1
16,1998,64,-95,-95,0,0,4,0,1,2
17,1998,43,7,42,0,0,5,0,2,2
18,1998,72,0,0,0,0,3,0,3,1
19,1998,60,0,0,0,0,9,0,0,1
20,1998,71,0,0,0,0,4,0,3,1
21,1998,77,29,78,0,0,2,0,1,2
22,1998,61,0,0,0,0,10,0,3,1
23,1998,67,0,0,0,0,2,0,2,1
24,1998,61,14,53,0,0,3,0,1,2
25,1998,72,2,42,0,0,5,0,3,2
26,1998,54,0,0,0,0,2,0,3,1
27,1998,62,16,63,0,0,3,0,2,2
28,1998,62,14,62,0,0,5,0,3,2
29,1998,74,0,0,0,0,7,0,6,1
30,1998,75,8,74,0,0,6,0,4,2
31,1998,67,0,0,0,0,4,0,2,1
32,1998,73,0,0,0,0,3,0,1,1
33,1998,80,0,0,0,0,7,0,2,1
34,1998,72,0,0,0,0,6,0,2,1
35,1998,59,0,0,0,0,5,0,2,1
36,1998,73,46,88,0,0,6,0,2,2
37,1998,70,25,70,0,0,7,0,2,2
38,1998,79,7,79,0,0,4,0,0,2
39,1998,60,0,0,0,0,1,0,1,1
40,1998,43,18,46,0,0,8,0,3,2
42,1998,71,0,0,0,0,3,0,2,1
43,1998,71,0,0,0,0,6,3,2,1
45,1998,66,0,0,0,0,2,0,2,1
46,1998,53,36,55,0,0,5,1,3,2
47,1998,73,5,73,0,0,9,0,4,2
48,1998,74,6,74,0,0,10,0,2,2
49,1998,69,15,68,0,0,6,0,3,2
50,1998,83,0,0,0,0,4,0,3,1
55,1998,51,23,54,0,0,5,0,2,2
56,1998,62,35,63,0,0,4,0,2,2
58,1998,65,0,0,0,0,3,0,1,1
59,1998,79,0,0,0,0,5,0,1,1
60,1998,67,0,0,0,0,5,0,4,1
61,1998,62,138,64,0,0,2,0,2,2
62,1998,53,65,55,0,0,4,0,1,2
63,1998,75,45,77,0,0,3,0,2,2
65,1998,76,0,0,0,0,2,0,2,1
66,1998,64,24,64,0,0,2,0,3,2
68,1998,71,19,71,0,0,8,0,2,2
69,1998,74,28,74,0,0,3,0,2,2
78,1998,75,0,0,0,0,1,0,1,1
88,1998,79,16,79,14,79,6,0,2,3
89,1998,67,12,67,0,0,10,0,1,2
400,1998,51,25,53,26,51,6,0,2,3
401,1998,74,29,74,0,0,7,0,2,2
402,1998,62,0,0,0,0,5,0,3,1
403,1998,56,38,55,33,54,8,0,4,3
404,1998,69,11,69,0,0,6,0,0,2
405,1998,48,24,57,8,57,7,0,4,4
406,1998,34,0,0,0,0,3,0,1,1
407,1998,64,0,0,0,0,4,0,4,1
408,1998,70,0,0,0,0,3,0,3,1
409,1998,61,236,70,46,58,6,0,2,3
410,1998,71,0,0,0,0,3,0,1,1
411,1998,61,0,0,0,0,6,0,2,1
412,1998,63,0,0,0,0,10,1,2,1
413,1998,65,0,0,0,0,5,0,2,1
415,1998,63,10,64,9,63,4,1,3,3
416,1998,54,33,50,0,0,3,0,2,2
417,1998,64,0,0,0,0,2,0,2,1
418,1998,56,0,0,0,0,3,0,3,1
419,1998,68,-95,-95,0,0,4,0,2,2
420,1998,54,0,0,0,0,3,0,3,1
421,1998,62,-95,60,61,66,7,1,3,3
422,1998,61,21,47,0,0,2,0,0,2
423,1998,67,0,0,0,0,2,0,1,1
425,1998,67,0,0,0,0,2,0,4,1
426,1998,72,13,72,0,0,4,0,4,2
428,1998,75,18,75,15,71,4,0,0,3
429,1998,67,16,65,0,0,4,0,1,2
430,1998,63,12,60,0,0,4,0,1,2
498,1998,56,80,57,0,0,4,0,2,2
501,1998,54,0,0,0,0,3,0,2,1
502,1998,50,10,63,0,0,3,0,2,2
503,1998,63,0,0,0,0,8,6,2,1
504,1998,59,5,59,0,0,3,0,1,2
505,1998,56,0,0,0,0,2,0,2,1
506,1998,37,0,0,0,0,3,1,2,1
507,1998,44,0,0,0,0,2,0,2,1
509,1998,43,13,43,7,36,5,0,3,3
510,1998,33,0,0,0,0,4,0,3,1
511,1998,42,40,47,0,0,7,0,4,2
513,1998,30,41,37,0,0,3,0,3,2
514,1998,59,0,0,0,0,7,0,2,1
516,1998,63,0,0,0,0,4,0,4,1
517,1998,65,15,50,0,0,4,0,0,2
519,1998,53,10,51,0,0,7,0,5,2
520,1998,43,76,43,0,0,3,0,1,2
521,1998,37,0,0,0,0,4,0,1,1
522,1998,60,22,60,0,0,7,0,2,2
523,1998,59,0,0,0,0,3,0,3,1
524,1998,63,14,63,0,0,5,0,5,2
525,1998,20,18,50,0,0,9,0,3,2
526,1998,52,0,0,0,0,3,0,2,1
527,1998,44,17,42,0,0,5,0,1,2
528,1998,63,0,0,0,0,12,0,5,1
529,1998,68,52,58,0,0,4,0,3,2
530,1998,54,0,0,0,0,2,0,2,1
531,1998,60,0,0,0,0,4,0,2,1
532,1998,57,0,0,0,0,4,0,2,1
533,1998,63,0,0,0,0,4,0,2,1
534,1998,58,0,0,0,0,4,0,2,1
535,1998,50,23,42,0,0,3,1,2,2
536,1998,47,0,0,0,0,5,0,3,1
537,1998,58,17,53,0,0,6,0,2,2
538,1998,69,0,0,0,0,6,0,5,1
539,1998,61,0,0,0,0,2,0,1,1
540,1998,52,25,52,0,0,5,1,2,2
541,1998,36,0,0,0,0,5,0,4,1
542,1998,60,11,49,0,0,5,0,1,2
543,1998,77,31,77,0,0,4,0,3,2
544,1998,60,0,0,0,0,5,0,3,1
545,1998,50,0,0,0,0,3,0,3,1
546,1998,47,14,36,0,0,4,0,4,2
547,1998,54,0,0,0,0,6,0,3,1
548,1998,54,16,55,0,0,12,0,5,2
549,1998,42,69,44,0,0,9,0,3,2
550,1998,75,0,0,0,0,2,0,1,1
551,1998,54,0,0,0,0,4,0,3,1
552,1998,61,0,0,0,0,8,0,2,1
553,1998,35,0,0,0,0,5,0,3,1
554,1998,41,0,0,0,0,6,0,3,1
555,1998,63,0,0,0,0,3,0,2,1
556,1998,50,0,0,0,0,3,0,2,1
557,1998,51,17,51,0,0,5,0,1,2
558,1998,46,7,38,0,0,6,0,2,2
559,1998,69,19,69,0,0,4,0,1,2
560,1998,53,0,0,0,0,2,0,3,1
561,1998,38,19,37,21,37,4,0,2,3
562,1998,68,0,0,0,0,5,4,2,1
563,1998,53,0,0,0,0,7,0,3,1
564,1998,33,22,51,0,0,4,0,2,2
565,1998,54,0,0,0,0,4,0,2,1
566,1998,56,20,57,0,0,6,3,5,2
567,1998,55,8,51,0,0,5,0,4,2
568,1998,75,0,0,0,0,6,0,8,1
569,1998,63,12,75,0,0,5,0,3,2
570,1998,54,65,50,0,0,8,0,1,2
571,1998,57,5,57,0,0,2,0,2,2
572,1998,55,14,55,0,0,4,0,2,2
573,1998,59,81,38,0,0,6,0,2,2
576,1998,52,0,0,0,0,4,0,2,1
578,1998,65,0,0,0,0,3,1,1,1
581,1998,73,0,0,0,0,4,0,1,1
582,1998,70,0,0,0,0,6,0,2,1
583,1998,52,20,56,7,52,6,0,3,3
584,1998,55,0,0,0,0,6,0,2,1
585,1998,54,57,55,0,0,5,0,1,2
586,1998,57,0,0,0,0,2,0,2,1
587,1998,62,19,62,0,0,3,0,2,2
588,1998,51,0,0,0,0,6,0,3,1
589,1998,62,34,62,0,0,3,0,2,2
590,1998,58,0,0,0,0,6,0,4,1
591,1998,69,0,0,0,0,4,0,2,1
592,1998,46,0,0,0,0,16,0,2,1
593,1998,67,0,0,0,0,3,0,2,1
594,1998,65,0,0,0,0,5,0,1,1
595,1998,58,0,0,0,0,4,0,2,1
596,1998,67,0,0,0,0,4,0,2,1
597,1998,60,0,0,0,0,3,0,0,1
598,1998,62,19,58,0,0,4,0,2,2
599,1998,62,0,0,0,0,2,0,2,1
600,1998,57,0,0,0,0,5,1,2,1
601,1998,61,0,0,0,0,3,0,3,1
602,1998,60,0,0,0,0,3,0,-95,1
603,1998,75,16,71,0,0,5,0,2,2
605,1998,75,7,74,0,0,4,0,0,2
606,1998,71,0,0,0,0,2,0,2,1
607,1998,47,0,0,0,0,5,0,3,1
608,1998,55,5,55,5,40,12,0,3,4
609,1998,58,0,0,0,0,4,0,1,1
610,1998,67,17,67,0,0,5,0,4,2
611,1998,72,58,53,0,0,4,0,2,2
612,1998,67,0,0,0,0,3,0,3,1
613,1998,51,0,0,0,0,5,0,-95,1
615,1998,72,41,23,0,0,3,0,3,2
616,1998,60,0,0,0,0,3,0,1,1
617,1998,69,19,69,0,0,8,0,4,2
618,1998,95,-95,97,0,0,6,0,1,2
619,1998,67,0,0,0,0,2,0,2,1
620,1998,53,0,0,0,0,3,0,3,1
621,1998,53,9,55,8,51,4,0,1,3
622,1998,62,0,0,0,0,2,0,1,1
623,1998,69,0,0,0,0,2,0,1,1
625,1998,72,5,72,0,0,2,0,2,2
626,1998,67,-95,70,0,0,11,0,1,2
627,1998,75,19,75,0,0,4,0,1,2
628,1998,22,18,19,0,0,5,0,2,2
629,1998,75,170,75,0,0,7,0,3,2
630,1998,74,0,0,0,0,2,0,1,1
631,1998,60,29,60,40,57,5,0,2,3
632,1998,72,24,74,0,0,8,3,0,2
633,1998,73,-95,71,-95,71,4,0,0,3
635,1998,61,0,0,0,0,2,0,1,1
636,1998,69,8,70,0,0,3,0,0,2
637,1998,64,0,0,0,0,2,0,2,1
638,1998,44,0,0,0,0,3,0,1,1
639,1998,46,27,45,40,50,7,0,2,4
650,1998,75,0,0,0,0,3,0,1,1
651,1998,72,15,66,0,0,3,0,2,2
652,1998,63,24,44,0,0,4,0,4,2
653,1998,68,117,56,0,0,4,0,2,2
655,1998,70,27,70,0,0,2,0,2,2
656,1998,64,14,64,0,0,5,0,2,2
657,1998,51,33,56,0,0,7,0,4,2
658,1998,43,0,0,0,0,6,0,2,1
659,1998,68,0,0,0,0,3,0,2,1
660,1998,75,18,74,0,0,3,0,2,2
661,1998,65,0,0,0,0,3,0,2,1
662,1998,63,12,63,0,0,5,0,3,2
663,1998,69,0,0,0,0,4,0,2,1
665,1998,69,8,67,12,69,6,1,1,3
666,1998,52,4,53,0,0,5,0,3,2
667,1998,74,12,74,12,74,7,0,1,3
668,1998,75,42,76,0,0,3,0,1,2
669,1998,61,0,0,0,0,4,0,2,1
670,1998,72,0,0,0,0,4,0,2,1
671,1998,74,0,0,0,0,4,0,2,1
672,1998,60,0,0,0,0,3,1,2,1
673,1998,71,14,71,15,71,7,0,2,3
675,1998,72,0,0,0,0,7,0,3,1
676,1998,75,0,0,0,0,3,0,2,1
677,1998,70,-95,70,0,0,3,0,1,2
678,1998,67,0,0,0,0,12,0,2,1
679,1998,56,0,0,0,0,1,0,3,1
680,1998,38,0,0,0,0,3,0,6,1
681,1998,73,0,0,0,0,6,0,2,1
682,1998,38,135,41,0,0,3,0,2,2
683,1998,70,43,70,0,0,4,0,2,2
685,1998,54,68,50,0,0,6,0,6,2
686,1998,62,0,0,0,0,3,0,3,1
687,1998,75,21,75,0,0,2,0,3,2
688,1998,52,0,0,0,0,7,3,2,1
689,1998,56,11,56,0,0,3,0,2,2
690,1998,76,835,76,0,0,3,0,2,2
691,1998,57,28,57,22,53,4,0,2,3
692,1998,65,38,63,0,0,4,0,2,2
693,1998,65,27,55,0,0,4,0,4,2
695,1998,62,0,0,0,0,4,0,2,1
697,1998,68,44,68,0,0,8,0,3,2
698,1998,64,0,0,0,0,3,0,3,1
699,1998,56,75,59,0,0,3,0,2,2
700,1998,74,8,74,8,74,7,0,1,3
701,1998,51,0,0,0,0,7,0,3,1
702,1998,62,0,0,0,0,3,0,3,1
703,1998,51,27,51,0,0,3,0,2,2
705,1998,42,0,0,0,0,2,0,2,1
707,1998,57,49,60,0,0,4,0,1,2
708,1998,75,0,0,0,0,9,0,1,1
709,1998,76,0,0,0,0,7,0,3,1
710,1998,71,51,71,0,0,2,0,3,2
711,1998,57,0,0,0,0,6,0,1,1
712,1998,75,0,0,0,0,5,0,2,1
713,1998,58,26,58,0,0,7,0,4,2
715,1998,75,0,0,0,0,1,0,1,1
716,1998,42,26,44,29,45,4,0,2,3
717,1998,75,68,75,57,75,3,0,2,3
718,1998,56,67,56,0,0,8,0,3,2
719,1998,72,0,0,0,0,4,0,2,1
720,1998,59,88,57,0,0,5,0,3,2
721,1998,63,38,63,0,0,10,0,7,2
722,1998,37,67,42,0,0,3,0,3,2
723,1998,52,26,52,41,52,4,0,2,3
727,1998,58,0,0,0,0,4,0,1,1
728,1998,75,0,0,0,0,6,0,3,1
