股票代码,公司中文全称,公司英文全称,CSRC行业分类,GICS行业分类,公司注册地
1,深圳发展银行股份有限公司,"SHENZHEN DEVELOPMENT BANK CO.,LTD.",I01,401010,广东省深圳市罗湖区深南东路178号深圳发展银行大厦
2,万科企业股份有限公司,"CHINA VANKE CO.,LTD.",J01,404030,中国深圳市福田区梅林路63号
4,深圳市北大高科技股份有限公司,"SHENZHEN CAU TECHNOLOGY CO.,LTD.",F03,352010,深圳市蛇口新时代广场27楼A-D
5,深圳世纪星源股份有限公司,SHENZHEN FOUNTAIN CORPORATION,M,404030,广东省深圳市人民南路发展中心大厦13楼
6,深圳市振业(集团)股份有限公司,"SHENZHEN ZHENYE (GROUP) CO.,LTD.",J01,404030,深圳市罗湖区宝安南路振业大厦B 座11-17 楼
7,深圳市赛格达声股份有限公司,"ShenZhen SEG. DASHENG Co., Ltd.",J01,253010,深圳市华强北路赛格工业大厦五楼
8,广东亿安科技股份有限公司,"BAOLILAI INVESTMENT CO.,LTD,GUANGDONG",G87,201070,深圳市南山区内环路5号锦兴工业小区管理楼二楼
9,中国宝安集团股份有限公司,CHINA BAOAN GROUP CO,M,201050,深圳市笋岗东路1002 号宝安广场A 座28-29 层
10,深圳华新股份有限公司,"SHENZHEN HUAXIN CO.,LTD.",H21,201060,广东省深圳市福田区深南中路1019 号万德大厦19 楼
11,深圳市物业(发展)集团股份有限公司,SHENZHEN PROPERTIES & RESOURCES DEVELOPMENT (GROUP) LTD.,M,404030,"广东省深圳市人民南路国贸大厦39,42层"
12,中国南玻科技控股（集团）股份有限公司,"CSG Holding Co.,Ltd.",C61,151020,中国深圳蛇口工业六路一号南玻大厦
14,沙河集团股份有限公司,"SHAHE INDUSTRY CO.,LTD.",J01,404030,中国深圳市南山区沙河商城七楼
16,康佳集团股份有限公司,"KONKA GROUP CO.,LTD.",C55,252010,深圳市华侨城东部工业区
17,深圳中华自行车(集团)股份有限公司,SHENZHEN CHINA BICYCLE COMPANY (HOLDINGS) LIMITED,C75,252020,广东省深圳市布心路三零零八号
18,深圳中冠纺织印染股份有限公司,"SHENZHEN VICTOR ONWARD TEXTILE INDUSTRIAL CO.,LTD.",C11,252030,中国深圳市龙岗区葵涌镇葵鹏路26号
19,深宝实业股份有限公司,"SHENZHEN SHENBAO INDUSTRIAL CO., LTD.",C0,302020,中国深圳市罗湖区笋岗路1002号宝安广场B、C座28楼
20,深圳华发电子股份有限公司,"SHENZHEN HUAFA ELECTRONICS CO.,LTD.",C55,452030,广东省深圳市福田区华发北路411幢
21,深圳开发科技股份有限公司,"SHENZHEN KAIFA TECHNOLOGY CO., LTD.",G83,452020,广东省深圳市福田区彩田路7006号
22,深圳赤湾港航股份有限公司,SHENZHEN CHIWAN WHARF HOLDINGS LIMITED (CWH),F11,203050,中国深圳市赤湾港石油大厦12楼
23,深圳市天地(集团)股份有限公司,"SHENZHEN UNIVERSE (GROUP) CO.,LTD.",E,151020,深圳市宝安南路天地大厦二三楼
