股票代码,年度,股票简称,证券交易所,中小企业板标示
1,2002,深发展A,SZ,0
1,2003,深发展A,SZ,0
1,2004,深发展A,SZ,0
1,2005,深发展A,SZ,0
1,2006,S深发展A,SZ,0
1,2008,深发展A,SZ,0
1,2009,深发展A,SZ,0
1,2010,深发展A,SZ,0
2,2003,深万科A,SZ,0
2,2004,深万科A,SZ,0
2,2005,G万科A,SZ,0
2,2006,万科A,SZ,0
2,2007,万科A,SZ,0
2,2009,万科A,SZ,0
2,2010,万科A,SZ,0
4,2004,北大高科,SZ,0
4,2005,*ST国农,SZ,0
4,2006,*ST国农,SZ,0
4,2007,ST国农,SZ,0
4,2008,*ST国农,SZ,0
4,2009,*ST国农,SZ,0
4,2010,ST国农,SZ,0
5,2002,ST星源,SZ,0
5,2003,ST星源,SZ,0
5,2004,ST星源,SZ,0
5,2005,ST星源,SZ,0
5,2006,ST星源,SZ,0
5,2007,ST星源,SZ,0
5,2008,世纪星源,SZ,0
5,2009,世纪星源,SZ,0
5,2010,世纪星源,SZ,0
6,2002,深振业A,SZ,0
6,2003,深振业A,SZ,0
6,2004,深振业A,SZ,0
6,2005,G深振业,SZ,0
6,2006,深振业A,SZ,0
6,2007,深振业A,SZ,0
6,2009,深振业A,SZ,0
6,2010,深振业A,SZ,0
7,2002,深达声A,SZ,0
7,2003,深达声A,SZ,0
7,2004,深达声A,SZ,0
7,2005,深达声A,SZ,0
7,2006,深达声A,SZ,0
7,2007,ST达声,SZ,0
7,2008,ST达声,SZ,0
7,2009,ST零七,SZ,0
7,2010,ST零七,SZ,0
8,2004,ST亿安,SZ,0
8,2005,G宝利来,SZ,0
8,2006,*ST宝投,SZ,0
8,2007,*ST宝投,SZ,0
8,2009,ST宝利来,SZ,0
8,2011,ST宝利来,SZ,0
9,2002,深宝安A,SZ,0
9,2003,深宝安A,SZ,0
9,2004,深宝安A,SZ,0
9,2005,深宝安A,SZ,0
9,2006,S深宝安A,SZ,0
9,2007,S深宝安A,SZ,0
9,2008,中国宝安,SZ,0
9,2009,中国宝安,SZ,0
9,2011,中国宝安,SZ,0
10,2004,深华新A,SZ,0
10,2006,S*ST华新,SZ,0
10,2007,SST华新,SZ,0
11,2002,ST深物业,SZ,0
11,2003,ST深物业,SZ,0
11,2004,ST深物业,SZ,0
11,2005,深物业A,SZ,0
11,2006,S深物业A,SZ,0
11,2007,S*ST物业,SZ,0
11,2008,S*ST物业,SZ,0
11,2009,深物业A,SZ,0
11,2010,深物业A,SZ,0
12,2004,南玻A,SZ,0
12,2006,南玻A,SZ,0
12,2007,南玻A,SZ,0
12,2009,南玻A,SZ,0
12,2011,南玻A,SZ,0
14,2003,沙河股份,SZ,0
14,2004,沙河股份,SZ,0
14,2005,G沙河,SZ,0
14,2006,沙河股份,SZ,0
14,2007,沙河股份,SZ,0
14,2008,沙河股份,SZ,0
14,2009,沙河股份,SZ,0
14,2010,沙河股份,SZ,0
16,2002,深康佳A,SZ,0
16,2003,深康佳A,SZ,0
16,2004,深康佳A,SZ,0
16,2005,G康佳Ａ,SZ,0
16,2006,深康佳A,SZ,0
16,2007,深康佳A,SZ,0
16,2008,深康佳A,SZ,0
16,2009,深康佳A,SZ,0
16,2010,深康佳A,SZ,0
17,2003,ST中华A,SZ,0
17,2004,ST中华A,SZ,0
17,2005,*ST中华A,SZ,0
17,2007,SST中华,SZ,0
17,2008,SST中华,SZ,0
17,2010,*ST中华A,SZ,0
18,2002,深中冠A,SZ,0
18,2003,深中冠A,SZ,0
18,2004,深中冠A,SZ,0
18,2006,深中冠A,SZ,0
18,2007,ST中冠A,SZ,0
18,2008,*ST中冠A,SZ,0
18,2009,*ST中冠A,SZ,0
18,2010,ST中冠A,SZ,0
19,2002,深深宝A,SZ,0
19,2003,深深宝A,SZ,0
19,2004,深深宝A,SZ,0
19,2005,深深宝A,SZ,0
19,2006,深深宝A,SZ,0
19,2008,深深宝A,SZ,0
19,2009,深深宝A,SZ,0
19,2010,深深宝A,SZ,0
20,2003,深华发A,SZ,0
20,2004,*ST华发A,SZ,0
20,2006,SST华发A,SZ,0
20,2007,ST华发A,SZ,0
20,2008,ST华发A,SZ,0
20,2009,深华发A,SZ,0
20,2011,深华发A,SZ,0
21,2002,深科技A,SZ,0
21,2003,深科技A,SZ,0
21,2004,深科技A,SZ,0
21,2005,深科技A,SZ,0
21,2006,长城开发,SZ,0
21,2007,长城开发,SZ,0
21,2008,长城开发,SZ,0
21,2009,长城开发,SZ,0
21,2010,长城开发,SZ,0
22,2002,深赤湾A,SZ,0
22,2003,深赤湾A,SZ,0
22,2004,深赤湾A,SZ,0
22,2005,深赤湾A,SZ,0
22,2006,深赤湾A,SZ,0
22,2007,深赤湾A,SZ,0
22,2008,深赤湾A,SZ,0
22,2009,深赤湾A,SZ,0
22,2010,深赤湾A,SZ,0
23,2002,深天地A,SZ,0
23,2003,深天地A,SZ,0
23,2004,深天地A,SZ,0
23,2005,G深天地,SZ,0
23,2006,深天地A,SZ,0
23,2007,深天地A,SZ,0
23,2008,深天地A,SZ,0
23,2009,深天地A,SZ,0
23,2011,深天地A,SZ,0
24,2002,招商局A,SZ,0
24,2003,招商局A,SZ,0
24,2004,招商地产,SZ,0
24,2005,G招商局,SZ,0
24,2006,招商地产,SZ,0
24,2009,招商地产,SZ,0
24,2011,招商地产,SZ,0
25,2002,ST特力A,SZ,0
25,2003,ST特力A,SZ,0
25,2004,ST特力A,SZ,0
25,2005,GST特力,SZ,0
25,2006,特力A,SZ,0
25,2009,特力A,SZ,0
25,2010,特力A,SZ,0
